id,first_name,last_name,email,gender,transaction_per_year,discount_ratio,no_of_transactions,time_in_system,churned
97,James,Stephens,jstephens2o@archive.org,Male,328578,0.7,16,12,1
98,Jonathan,Montgomery,jmontgomery2p@census.gov,Male,349671,0.5,16,6,0
99,Wayne,Ferguson,wferguson2q@plala.or.jp,Male,368552,0.2,10,7,1
100,Mildred,Robinson,mrobinson2r@amazon.co.jp,Female,464550,0.5,10,5,0
101,Nicole,Fuller,nfuller2s@webs.com,Female,219106,0.1,17,5,0
102,Craig,Henderson,chenderson2t@histats.com,Male,123042,0.5,18,10,1
103,Adam,Bryant,abryant2u@pinterest.com,Male,459848,0.4,6,5,1
104,Rose,Phillips,rphillips2v@abc.net.au,Female,389704,0.2,9,6,0
105,Eugene,Gutierrez,egutierrez2w@artisteer.com,Male,273537,0.6,9,5,0
106,Ashley,Perkins,aperkins2x@census.gov,Female,390456,0.2,7,4,1
107,Jose,Thomas,jthomas2y@msu.edu,Male,231460,0.4,6,9,0
108,Juan,Alexander,jalexander2z@umich.edu,Male,236008,0.2,20,9,1
109,Norma,West,nwest30@twitpic.com,Female,299244,0.8,14,12,0
110,Timothy,Mason,tmason31@goo.gl,Male,98476,0.1,15,8,1
111,Sandra,Jacobs,sjacobs32@elegantthemes.com,Female,97915,0.5,10,4,0
112,Earl,King,eking33@examiner.com,Male,462234,0.5,10,7,0
113,Henry,Hanson,hhanson34@illinois.edu,Male,256028,0.8,19,9,1
114,Kenneth,Sims,ksims35@macromedia.com,Male,88613,0.3,20,12,1
115,Cheryl,Stephens,cstephens36@paypal.com,Female,486495,0.8,19,9,1
116,Amy,Jacobs,ajacobs37@imgur.com,Female,197896,0.7,9,5,1
117,Lisa,Moreno,lmoreno38@rediff.com,Female,430828,0.2,19,3,0
118,Phillip,Elliott,pelliott39@mozilla.com,Male,167483,0.7,19,10,1
119,Randy,Kelley,rkelley3a@biglobe.ne.jp,Male,113266,0.4,6,7,0
120,Daniel,Washington,dwashington3b@deliciousdays.com,Male,252847,0.6,6,3,0
121,Harry,Wheeler,hwheeler3c@sitemeter.com,Male,234477,0.7,16,11,0
122,Martha,Gomez,mgomez3d@prlog.org,Female,407297,0.1,15,9,0
123,Amy,Morris,amorris3e@columbia.edu,Female,325966,0.3,15,9,0
124,Sarah,Wells,swells3f@comcast.net,Female,179366,0.3,9,6,0
125,Marilyn,Fox,mfox3g@spiegel.de,Female,74818,0.1,14,3,1
126,Ryan,Jackson,rjackson3h@chronoengine.com,Male,467484,0.1,7,10,0
127,Doris,Chapman,dchapman3i@bandcamp.com,Female,322930,0.8,18,6,1
128,Alice,Gray,agray3j@squarespace.com,Female,362178,0.1,7,7,1
129,Fred,Howell,fhowell3k@weibo.com,Male,484810,0.2,10,7,0
130,Carl,White,cwhite3l@europa.eu,Male,201546,0.5,11,7,1
131,Matthew,Palmer,mpalmer3m@trellian.com,Male,297772,0.8,11,6,1
132,Mildred,Edwards,medwards3n@wordpress.org,Female,453923,0.6,7,9,0
133,Juan,Payne,jpayne3o@hibu.com,Male,425264,0.9,7,5,0
134,Donald,Campbell,dcampbell3p@jalbum.net,Male,282033,0.3,8,5,0
135,Jose,Carroll,jcarroll3q@goo.gl,Male,72468,0.6,12,5,0
136,Larry,Mitchell,lmitchell3r@com.com,Male,459701,0.3,11,5,0
137,Carl,Thomas,cthomas3s@indiatimes.com,Male,172815,0.1,5,6,1
138,Phyllis,Bell,pbell3t@theguardian.com,Female,479264,0.4,8,12,0
139,Douglas,Pierce,dpierce3u@house.gov,Male,210506,0.5,12,11,1
140,Evelyn,Smith,esmith3v@canalblog.com,Female,309667,0.1,18,11,0
141,Ronald,Butler,rbutler3w@techcrunch.com,Male,485441,0.4,20,4,0
142,Brandon,Allen,ballen3x@uiuc.edu,Male,206567,0.5,8,11,1
143,Mary,Harris,mharris3y@oracle.com,Female,304878,0.4,11,7,0
144,Kathy,Wallace,kwallace3z@cdbaby.com,Female,287309,0.5,18,6,1
145,Lawrence,Watkins,lwatkins40@ed.gov,Male,147505,0.9,18,6,1
146,Lois,Simmons,lsimmons41@newsvine.com,Female,215154,0.5,11,7,0
147,Earl,Lopez,elopez42@blogspot.com,Male,406887,0.1,12,9,1
148,Henry,Castillo,hcastillo43@omniture.com,Male,325585,0.9,7,10,0
149,Matthew,Morales,mmorales44@macromedia.com,Male,411848,0.5,8,10,0
150,Wayne,Wagner,wwagner45@is.gd,Male,125727,0.4,20,5,0
151,Cynthia,Weaver,cweaver46@clickbank.net,Female,372635,0.4,14,7,1
152,Irene,Diaz,idiaz47@amazon.co.jp,Female,86356,0.1,13,4,1
153,Mildred,Wagner,mwagner48@ibm.com,Female,439315,0.9,13,3,0
154,Alice,Wagner,awagner49@cafepress.com,Female,224637,0.6,6,7,1
155,Martha,Brown,mbrown4a@exblog.jp,Female,340460,0.7,8,11,0
156,Shawn,Montgomery,smontgomery4b@yandex.ru,Male,181754,0,17,10,0
157,Justin,Henderson,jhenderson4c@ucsd.edu,Male,89257,1,6,11,0
158,Pamela,Day,pday4d@blogs.com,Female,166490,0.4,19,8,1
159,Beverly,Gutierrez,bgutierrez4e@indiatimes.com,Female,385606,0.1,16,9,0
160,Russell,Ryan,rryan4f@cam.ac.uk,Male,176501,1,19,9,0
161,Howard,Edwards,hedwards4g@mlb.com,Male,314786,0.4,17,5,0
162,Terry,Frazier,tfrazier4h@techcrunch.com,Male,81635,0.1,14,3,0
163,Louis,Carr,lcarr4i@photobucket.com,Male,271098,0.3,20,10,1
164,Benjamin,Sims,bsims4j@wordpress.org,Male,344584,0.8,19,10,1
165,Amy,Gardner,agardner4k@fotki.com,Female,475977,0.3,13,9,1
166,Ann,Garcia,agarcia4l@google.de,Female,192754,0.9,12,10,0
167,Anna,Pierce,apierce4m@google.com.au,Female,194385,0.8,20,7,0
168,Laura,Adams,ladams4n@jigsy.com,Female,62989,0.2,13,8,0
169,Mary,Romero,mromero4o@uiuc.edu,Female,295615,0,13,8,0
170,Laura,Peterson,lpeterson4p@plala.or.jp,Female,187841,0.6,9,12,0
171,Wanda,Cole,wcole4q@oaic.gov.au,Female,277210,0.2,16,4,1
172,Paul,Hughes,phughes4r@canalblog.com,Male,167528,0.8,16,11,0
173,Anne,Gutierrez,agutierrez4s@dailymotion.com,Female,165359,0.7,17,3,0
174,Paula,Jones,pjones4t@freewebs.com,Female,388898,0,14,4,1
175,Ruth,Sanchez,rsanchez4u@shop-pro.jp,Female,206116,0.1,17,5,1
176,Karen,Austin,kaustin4v@mozilla.org,Female,389308,0.1,11,7,0
177,Arthur,Holmes,aholmes4w@4shared.com,Male,176813,0.9,15,7,0
178,Ronald,Washington,rwashington4x@ted.com,Male,294268,0.9,20,6,0
179,Heather,Austin,haustin4y@seattletimes.com,Female,221992,0.3,9,3,0
180,Nicholas,Lopez,nlopez4z@patch.com,Male,378402,0.6,16,10,1
181,Kelly,Watkins,kwatkins50@myspace.com,Female,477858,0.6,9,12,0
182,Mildred,Smith,msmith51@blinklist.com,Female,95184,0.3,10,8,1
183,Christine,Rodriguez,crodriguez52@networkadvertising.org,Female,477571,0.5,8,7,1
184,Jeremy,Turner,jturner53@reverbnation.com,Male,400147,0.7,19,10,0
185,Linda,Fernandez,lfernandez54@blog.com,Female,193586,0.4,16,12,1
186,Fred,Vasquez,fvasquez55@about.me,Male,284776,0.7,7,4,0
187,Ashley,Day,aday56@google.pl,Female,132281,0.8,7,8,1
188,Sarah,Montgomery,smontgomery57@msu.edu,Female,402963,0.1,17,4,1
189,Russell,Nichols,rnichols58@jalbum.net,Male,195385,0.4,10,9,0
190,Beverly,Ramos,bramos59@alibaba.com,Female,399341,0.8,7,3,1
191,Alan,Snyder,asnyder5a@themeforest.net,Male,220357,0.6,16,12,0
192,Laura,Campbell,lcampbell5b@zdnet.com,Female,218956,0.5,13,4,1
193,Jacqueline,Stanley,jstanley5c@com.com,Female,240178,1,14,9,1
194,Ronald,Gutierrez,rgutierrez5d@mit.edu,Male,173047,0.4,10,3,0
195,Russell,Burns,rburns5e@seattletimes.com,Male,114134,0.8,7,3,0
196,Victor,Gutierrez,vgutierrez5f@technorati.com,Male,335068,0.9,10,11,1
197,Russell,Phillips,rphillips5g@economist.com,Male,223446,0.6,20,10,0
198,Carolyn,Gonzales,cgonzales5h@msu.edu,Female,458523,0.7,6,3,1
199,Pamela,Lewis,plewis5i@wufoo.com,Female,258672,0.6,14,4,1
200,Jack,Moore,jmoore5j@weebly.com,Male,294961,0.1,15,4,1
201,Nancy,Berry,nberry5k@geocities.com,Female,433021,1,12,12,0
202,Fred,Campbell,fcampbell5l@foxnews.com,Male,434216,0.7,12,7,1
203,Craig,Wheeler,cwheeler5m@cdbaby.com,Male,329458,0.7,20,3,1
204,Ruth,Fisher,rfisher5n@cbslocal.com,Female,426046,0.2,18,4,1
205,Bobby,Knight,bknight5o@state.tx.us,Male,62340,0,7,4,1
206,Justin,Robertson,jrobertson5p@squarespace.com,Male,96497,1,7,3,1
207,Stephanie,Moore,smoore5q@mayoclinic.com,Female,448171,0.6,8,9,1
208,Emily,Hawkins,ehawkins5r@bbb.org,Female,319532,0.7,15,9,1
209,Stephanie,Morgan,smorgan5s@comcast.net,Female,139908,0.7,6,7,0
210,Robin,George,rgeorge5t@smugmug.com,Female,476829,0.5,15,12,1
211,Peter,Hawkins,phawkins5u@godaddy.com,Male,147808,0.9,13,6,1
212,Jose,Chavez,jchavez5v@delicious.com,Male,308367,0.9,9,6,1
213,Jessica,Harper,jharper5w@photobucket.com,Female,353936,0.2,18,8,1
214,Kelly,Riley,kriley5x@flickr.com,Female,195943,0.3,12,4,1
215,Gloria,Montgomery,gmontgomery5y@mozilla.com,Female,74726,0.3,11,6,0
216,Anne,Rose,arose5z@xing.com,Female,192953,0.1,13,9,1
217,Alan,Frazier,afrazier60@wisc.edu,Male,99678,0,7,12,0
218,Shirley,Holmes,sholmes61@theguardian.com,Female,207953,0.3,18,6,1
219,Dennis,Myers,dmyers62@nytimes.com,Male,66725,0.9,16,5,0
220,Patricia,Richards,prichards63@alibaba.com,Female,416030,0.1,9,6,1
221,Julia,Kelly,jkelly64@cargocollective.com,Female,197941,0.9,9,7,0
222,Diane,Thomas,dthomas65@admin.ch,Female,326969,0.3,12,6,0
223,Mary,Ferguson,mferguson66@newyorker.com,Female,128306,0.7,7,4,0
224,Anna,Johnson,ajohnson67@about.com,Female,355445,0.4,9,11,0
225,Lillian,Franklin,lfranklin68@gov.uk,Female,106829,0.8,9,9,1
226,Barbara,Palmer,bpalmer69@msn.com,Female,465415,0.5,8,9,1
227,Dorothy,Graham,dgraham6a@skype.com,Female,55658,0.7,15,10,1
228,Ann,Cruz,acruz6b@cmu.edu,Female,380580,0.1,5,8,0
229,Marie,Olson,molson6c@cnet.com,Female,74056,0.6,20,9,0
230,Jennifer,Ross,jross6d@plala.or.jp,Female,60215,0.4,16,4,0
231,Arthur,White,awhite6e@go.com,Male,202671,0.4,6,8,0
232,Kathryn,Hanson,khanson6f@imdb.com,Female,393487,0,18,10,1
233,Anthony,Burton,aburton6g@51.la,Male,198665,0.6,15,9,1
234,Aaron,Ortiz,aortiz6h@typepad.com,Male,370227,0.2,6,4,1
235,Ronald,Diaz,rdiaz6i@yelp.com,Male,460341,0.2,19,10,0
236,Sandra,Burns,sburns6j@discovery.com,Female,189666,0.6,19,4,0
237,Barbara,Williams,bwilliams6k@hao123.com,Female,498805,0.4,20,3,0
238,Teresa,Holmes,tholmes6l@netscape.com,Female,224446,0.7,15,8,0
239,Paul,Frazier,pfrazier6m@myspace.com,Male,429499,0.8,15,3,1
240,Julie,Long,jlong6n@opensource.org,Female,263086,0.8,18,11,0
241,Carolyn,Stanley,cstanley6o@ft.com,Female,252368,0.8,19,12,0
242,Steve,Fernandez,sfernandez6p@amazon.co.jp,Male,84278,0,17,10,0
243,Dorothy,Ross,dross6q@cbsnews.com,Female,382061,0.6,6,12,0
244,Wanda,Ross,wross6r@japanpost.jp,Female,186598,0.4,13,11,1
245,Kathy,Fowler,kfowler6s@salon.com,Female,473766,0.8,14,9,1
246,Diane,Adams,dadams6t@tumblr.com,Female,477922,0.5,16,10,1
247,Christopher,Schmidt,cschmidt6u@oracle.com,Male,66935,0.7,7,9,1
248,Sharon,Hart,shart6v@un.org,Female,142846,0.7,14,4,0
249,Gloria,Cruz,gcruz6w@squarespace.com,Female,407146,0.6,9,6,1
250,Jerry,Carr,jcarr6x@google.pl,Male,148626,0.9,8,7,0
251,Betty,Powell,bpowell6y@zdnet.com,Female,363218,0.6,17,7,1
252,Nancy,Gibson,ngibson6z@ihg.com,Female,333408,0.9,10,5,0
253,Joyce,Hansen,jhansen70@bravesites.com,Female,185180,1,5,9,1
254,Joyce,Gray,jgray71@sphinn.com,Female,482379,0.1,10,6,0
255,Ann,Knight,aknight72@bluehost.com,Female,262111,0.5,16,6,0
256,Dennis,Harper,dharper73@omniture.com,Male,64146,0.1,12,4,0
257,Irene,Ray,iray74@livejournal.com,Female,293063,0.2,5,12,0
258,Amy,Fuller,afuller75@nydailynews.com,Female,375955,0.4,16,4,1
259,Evelyn,Jones,ejones76@marriott.com,Female,462588,0.6,6,7,1
260,Alan,Thomas,athomas77@tinyurl.com,Male,497654,1,10,10,1
261,Christopher,Rodriguez,crodriguez78@constantcontact.com,Male,403420,1,10,11,0
262,Judith,Butler,jbutler79@amazonaws.com,Female,164516,0.8,19,7,0
263,Doris,Perez,dperez7a@weather.com,Female,396407,0.6,14,9,0
264,Paul,Hawkins,phawkins7b@cisco.com,Male,266551,0.9,20,9,0
265,Helen,Stewart,hstewart7c@amazonaws.com,Female,317580,0.3,10,6,0
266,Ruth,Nguyen,rnguyen7d@over-blog.com,Female,237088,0.2,9,9,0
267,Mark,Dunn,mdunn7e@amazon.com,Male,201879,0.3,14,9,0
268,Gerald,Ray,gray7f@gmpg.org,Male,280042,0,8,11,0
269,Michelle,Snyder,msnyder7g@bandcamp.com,Female,156134,0.8,13,4,1
270,Julie,Austin,jaustin7h@istockphoto.com,Female,70450,0.8,13,12,1
271,Marie,Kelley,mkelley7i@harvard.edu,Female,91936,0.8,5,6,0
272,Diane,Larson,dlarson7j@usgs.gov,Female,444686,0.6,13,4,0
273,Lillian,Henry,lhenry7k@instagram.com,Female,321840,1,17,4,1
274,Ruth,Ray,rray7l@ifeng.com,Female,63576,0.8,11,8,0
275,Karen,Johnston,kjohnston7m@ebay.com,Female,432259,0.7,6,4,0
276,Jesse,Rivera,jrivera7n@symantec.com,Male,188393,0.3,10,7,1
277,Jesse,Morgan,jmorgan7o@qq.com,Male,404309,0.4,19,11,1
278,Walter,Bishop,wbishop7p@ameblo.jp,Male,172753,1,19,6,0
279,Dorothy,Bailey,dbailey7q@mtv.com,Female,80388,0.8,14,6,1
280,Matthew,Mendoza,mmendoza7r@joomla.org,Male,199479,0.2,8,4,0
281,Philip,Daniels,pdaniels7s@sohu.com,Male,379851,0.4,15,8,0
282,Steven,Gray,sgray7t@msu.edu,Male,136153,0.5,8,8,1
283,Pamela,Williams,pwilliams7u@businessinsider.com,Female,429656,0.1,10,8,1
284,Benjamin,Watkins,bwatkins7v@craigslist.org,Male,178335,0,9,6,1
285,Linda,Castillo,lcastillo7w@clickbank.net,Female,369857,0.5,8,4,0
286,Diane,Morrison,dmorrison7x@house.gov,Female,388792,0.2,16,8,1
287,Alan,Lynch,alynch7y@cocolog-nifty.com,Male,133355,0.3,20,7,1
288,Arthur,James,ajames7z@trellian.com,Male,457369,0.3,15,9,0
289,Albert,Castillo,acastillo80@imageshack.us,Male,139774,1,5,12,1
290,Benjamin,Andrews,bandrews81@photobucket.com,Male,263341,0.8,19,12,0
291,Helen,Morris,hmorris82@google.fr,Female,301123,0.2,20,6,1
292,Ruby,Bowman,rbowman83@reverbnation.com,Female,153053,0.3,8,7,0
293,Phillip,Nichols,pnichols84@newyorker.com,Male,198034,0.9,14,12,1
294,Julia,Turner,jturner85@naver.com,Female,205646,0.2,19,6,0
295,Jacqueline,Garrett,jgarrett86@weebly.com,Female,131365,0.1,12,11,0
296,Eric,Crawford,ecrawford87@squarespace.com,Male,192331,0.8,17,3,1
297,Larry,Watson,lwatson88@icq.com,Male,385967,0.4,16,10,0
298,Kimberly,Lynch,klynch89@fema.gov,Female,144103,0.2,20,10,0
299,Denise,Mitchell,dmitchell8a@sun.com,Female,286647,0.8,13,5,0
300,Donald,Cruz,dcruz8b@weibo.com,Male,452093,0.6,17,3,1
301,Kathy,Grant,kgrant8c@cargocollective.com,Female,118799,0.6,15,7,1
302,Keith,Nguyen,knguyen8d@ask.com,Male,293964,0.2,5,9,0
303,Kathryn,Castillo,kcastillo8e@1und1.de,Female,147321,0.9,11,4,1
304,Albert,Nguyen,anguyen8f@liveinternet.ru,Male,339900,0.6,14,11,0
305,Nicole,Burton,nburton8g@drupal.org,Female,443079,0.2,11,9,0
306,Fred,Hansen,fhansen8h@mashable.com,Male,384316,0.3,19,12,0
307,Aaron,Dunn,adunn8i@ibm.com,Male,143933,0.9,7,5,0
308,Michelle,Snyder,msnyder8j@ebay.com,Female,260942,0.1,7,6,1
309,Elizabeth,Williamson,ewilliamson8k@epa.gov,Female,85106,0.2,18,6,0
310,Alan,Reyes,areyes8l@discovery.com,Male,191450,0.8,17,8,1
311,Joe,Mills,jmills8m@spotify.com,Male,349069,1,14,3,0
312,Robin,Young,ryoung8n@elpais.com,Female,473233,0.8,14,4,1
313,Kenneth,Hunt,khunt8o@upenn.edu,Male,239362,0.2,19,9,0
314,Bonnie,Nguyen,bnguyen8p@psu.edu,Female,164501,0.8,6,6,0
315,Charles,Carpenter,ccarpenter8q@shinystat.com,Male,214097,0.2,18,7,0
316,David,Rose,drose8r@tinyurl.com,Male,426289,0,10,4,0
317,Jennifer,Rice,jrice8s@oracle.com,Female,452179,0.7,11,3,0
318,Joe,Gilbert,jgilbert8t@sphinn.com,Male,59349,0.2,5,11,0
319,Harold,Butler,hbutler8u@gizmodo.com,Male,305035,1,18,4,1
320,Ashley,Rose,arose8v@instagram.com,Female,257469,0.5,12,12,0
321,Kenneth,Young,kyoung8w@gravatar.com,Male,114619,0.7,14,11,1
322,George,Kelley,gkelley8x@shutterfly.com,Male,440441,0.2,14,8,0
323,Jennifer,Nelson,jnelson8y@storify.com,Female,304067,0.8,16,5,1
324,Gloria,Moreno,gmoreno8z@pbs.org,Female,482463,0.4,12,9,0
325,Julie,Willis,jwillis90@cafepress.com,Female,206750,1,12,12,0
326,Shawn,Johnson,sjohnson91@bravesites.com,Male,437983,0.4,7,7,1
327,Justin,Martin,jmartin92@histats.com,Male,245810,0.8,19,9,0
328,Stephen,Jackson,sjackson93@newyorker.com,Male,407465,0.7,19,4,0
329,Diana,Reid,dreid94@discovery.com,Female,131652,0.7,13,11,1
330,Barbara,Clark,bclark95@independent.co.uk,Female,308479,0.1,15,10,0
331,George,Butler,gbutler96@google.ca,Male,353474,0.7,18,10,0
332,Betty,Henderson,bhenderson97@friendfeed.com,Female,389503,0.6,19,4,0
333,Dorothy,Smith,dsmith98@flavors.me,Female,273584,0.8,12,7,1
334,Stephanie,Jenkins,sjenkins99@fema.gov,Female,373245,0.1,19,10,1
335,Brenda,Harrison,bharrison9a@comsenz.com,Female,307569,0.2,20,4,0
336,Louise,Fernandez,lfernandez9b@unc.edu,Female,371036,0.5,12,3,1
337,Jesse,Olson,jolson9c@aol.com,Male,308148,0,12,12,1
338,Jennifer,Jacobs,jjacobs9d@dyndns.org,Female,65513,0.6,6,7,1
339,Deborah,Woods,dwoods9e@sitemeter.com,Female,324316,1,16,9,0
340,Jonathan,Kim,jkim9f@berkeley.edu,Male,272146,0.2,17,11,0
341,Jerry,Ramirez,jramirez9g@theglobeandmail.com,Male,335266,1,10,4,1
342,Jesse,Wilson,jwilson9h@1und1.de,Male,195892,0.4,10,5,0
343,Jason,Hansen,jhansen9i@technorati.com,Male,130266,0.2,7,11,1
344,Jonathan,Ruiz,jruiz9j@admin.ch,Male,111117,0.1,16,6,0
