"","id","first_name","last_name","email","gender","transaction_per_year","discount_ratio","no_of_transactions","time_in_system","churned","predict"
"59",59,"Ashley","Wheeler","awheeler1m@comcast.net","Female",148464,0.6,14,7,1,0.500786120081267
"60",60,"Stephanie","Montgomery","smontgomery1n@japanpost.jp","Female",396969,0.1,19,10,0,0.501960891146772
"61",61,"Joseph","Gonzalez","jgonzalez1o@nih.gov","Male",380344,0.9,15,4,1,0.515376314980589
"62",62,"Ronald","Sanders","rsanders1p@prweb.com","Male",85609,0.6,10,5,0,0.510964342220499
"63",63,"Sharon","Payne","spayne1q@examiner.com","Female",489491,0.1,6,5,0,0.520216082455067
"64",64,"Laura","Baker","lbaker1r@mit.edu","Female",441845,0.6,15,12,1,0.457731542248695
"65",65,"Charles","Payne","cpayne1s@wiley.com","Male",77051,0.2,16,3,0,0.554816592661963
"66",66,"William","Stanley","wstanley1t@surveymonkey.com","Male",190571,0.8,19,12,0,0.459071813540203
"67",67,"Frances","Stone","fstone1u@epa.gov","Female",123745,0.5,17,6,1,0.518984812510086
"68",68,"Helen","Bennett","hbennett1v@t.co","Female",201720,1,14,3,1,0.51941629824872
"69",69,"Beverly","Lynch","blynch1w@vimeo.com","Female",69557,0.1,14,9,0,0.503387883705007
"70",70,"Eugene","Edwards","eedwards1x@sourceforge.net","Male",309038,0.4,12,9,1,0.486543201483867
"71",71,"Betty","Fields","bfields1y@furl.net","Female",88630,0.1,10,3,1,0.547449293028291
"72",72,"Marilyn","Thomas","mthomas1z@plala.or.jp","Female",497028,0,15,9,0,0.506342042509125
"73",73,"Johnny","Johnston","jjohnston20@ameblo.jp","Male",468861,0.1,13,4,1,0.541963418876352
"74",74,"Eugene","Banks","ebanks21@liveinternet.ru","Male",341189,0.3,19,4,1,0.546221797549137
"75",75,"Victor","Sanders","vsanders22@examiner.com","Male",357666,0.9,17,11,0,0.4590176355792
"76",76,"Robin","Stanley","rstanley23@privacy.gov.au","Female",363996,0.4,11,8,1,0.49293239784679
"77",77,"Catherine","Anderson","canderson24@behance.net","Female",107441,0.8,17,4,1,0.524717906666927
"78",78,"Shawn","Ramirez","sramirez25@abc.net.au","Male",310656,0.8,8,11,0,0.446453169653289
"79",79,"Joyce","Simpson","jsimpson26@sfgate.com","Female",227881,0.3,15,6,0,0.522313308726897
"80",80,"Richard","Fox","rfox27@cbsnews.com","Male",492771,0.4,11,8,0,0.492099712400015
"81",81,"Douglas","Walker","dwalker28@netscape.com","Male",270531,0.5,15,12,0,0.462698895562145
"82",82,"John","Little","jlittle29@sohu.com","Male",306816,0.5,8,6,0,0.501072993848084
"83",83,"Phillip","Henry","phenry2a@feedburner.com","Male",336991,0.8,14,11,0,0.457434911626557
"84",84,"Barbara","Butler","bbutler2b@hugedomains.com","Female",227022,0.8,16,3,1,0.530689237515372
"85",85,"Lisa","Nguyen","lnguyen2c@goodreads.com","Female",486600,0.3,8,10,1,0.473216727440385
"86",86,"Roy","Lopez","rlopez2d@histats.com","Male",84835,0.3,5,7,0,0.496048320014888
"87",87,"Joe","Lopez","jlopez2e@stumbleupon.com","Male",100814,0.6,14,8,0,0.492490997121154
"88",88,"Deborah","Stewart","dstewart2f@ucsd.edu","Female",470228,0.1,8,10,0,0.481041796147478
"89",89,"Albert","Williams","awilliams2g@businessweek.com","Male",138748,0.3,19,10,1,0.495911396851532
"90",90,"Amy","Garza","agarza2h@hatena.ne.jp","Female",447359,0.1,13,12,1,0.473276554474543
"91",91,"Brandon","Moore","bmoore2i@europa.eu","Male",459897,0.4,8,10,1,0.469529792485421
"92",92,"Joseph","Graham","jgraham2j@house.gov","Male",93937,0.6,14,3,1,0.535551653160406
"93",93,"Marie","Frazier","mfrazier2k@earthlink.net","Female",371288,0.5,9,12,0,0.450895350763782
"94",94,"Adam","Nelson","anelson2l@wikispaces.com","Male",135096,0.9,14,9,0,0.47208727910022
"95",95,"Marie","Tucker","mtucker2m@vk.com","Female",138661,0.8,13,9,0,0.474065157511284
"96",96,"Betty","Walker","bwalker2n@google.de","Female",153649,1,17,11,1,0.456477249157022
"97",97,"James","Stephens","jstephens2o@archive.org","Male",328578,0.7,16,12,1,0.456463019371563
"98",98,"Jonathan","Montgomery","jmontgomery2p@census.gov","Male",349671,0.5,16,6,0,0.515665257281539
"99",99,"Wayne","Ferguson","wferguson2q@plala.or.jp","Male",368552,0.2,10,7,1,0.507366707845976
"100",100,"Mildred","Robinson","mrobinson2r@amazon.co.jp","Female",464550,0.5,10,5,0,0.512373634337946
"101",101,"Nicole","Fuller","nfuller2s@webs.com","Female",219106,0.1,17,5,0,0.5424098344249
"102",102,"Craig","Henderson","chenderson2t@histats.com","Male",123042,0.5,18,10,1,0.486435079466152
"103",103,"Adam","Bryant","abryant2u@pinterest.com","Male",459848,0.4,6,5,1,0.508828954128659
"104",104,"Rose","Phillips","rphillips2v@abc.net.au","Female",389704,0.2,9,6,0,0.513974500708327
"105",105,"Eugene","Gutierrez","egutierrez2w@artisteer.com","Male",273537,0.6,9,5,0,0.507890489819415
"106",106,"Ashley","Perkins","aperkins2x@census.gov","Female",390456,0.2,7,4,1,0.527458770150243
"107",107,"Jose","Thomas","jthomas2y@msu.edu","Male",231460,0.4,6,9,0,0.475892807212785
"108",108,"Juan","Alexander","jalexander2z@umich.edu","Male",236008,0.2,20,9,1,0.50960400500368
"109",109,"Norma","West","nwest30@twitpic.com","Female",299244,0.8,14,12,0,0.449075753846181
"110",110,"Timothy","Mason","tmason31@goo.gl","Male",98476,0.1,15,8,1,0.513662796712968
"111",111,"Sandra","Jacobs","sjacobs32@elegantthemes.com","Female",97915,0.5,10,4,0,0.523347608708017
"112",112,"Earl","King","eking33@examiner.com","Male",462234,0.5,10,7,0,0.495182134885722
"113",113,"Henry","Hanson","hhanson34@illinois.edu","Male",256028,0.8,19,9,1,0.484458267983168
"114",114,"Kenneth","Sims","ksims35@macromedia.com","Male",88613,0.3,20,12,1,0.480887776395134
"115",115,"Cheryl","Stephens","cstephens36@paypal.com","Female",486495,0.8,19,9,1,0.48296802129816
"116",116,"Amy","Jacobs","ajacobs37@imgur.com","Female",197896,0.7,9,5,1,0.504519997965941
"117",117,"Lisa","Moreno","lmoreno38@rediff.com","Female",430828,0.2,19,3,0,0.558105013066703
"118",118,"Phillip","Elliott","pelliott39@mozilla.com","Male",167483,0.7,19,10,1,0.480287182450013
"119",119,"Randy","Kelley","rkelley3a@biglobe.ne.jp","Male",113266,0.4,6,7,0,0.493863548934012
"120",120,"Daniel","Washington","dwashington3b@deliciousdays.com","Male",252847,0.6,6,3,0,0.519654736035097
"121",121,"Harry","Wheeler","hwheeler3c@sitemeter.com","Male",234477,0.7,16,11,0,0.465674733244243
"122",122,"Martha","Gomez","mgomez3d@prlog.org","Female",407297,0.1,15,9,0,0.503062659472929
"123",123,"Amy","Morris","amorris3e@columbia.edu","Female",325966,0.3,15,9,0,0.495869358315487
"124",124,"Sarah","Wells","swells3f@comcast.net","Female",179366,0.3,9,6,0,0.511474987162942
"125",125,"Marilyn","Fox","mfox3g@spiegel.de","Female",74818,0.1,14,3,1,0.554973290548176
"126",126,"Ryan","Jackson","rjackson3h@chronoengine.com","Male",467484,0.1,7,10,0,0.479200867834978
"127",127,"Doris","Chapman","dchapman3i@bandcamp.com","Female",322930,0.8,18,6,1,0.507976707184209
"128",128,"Alice","Gray","agray3j@squarespace.com","Female",362178,0.1,7,7,1,0.505691510706967
"129",129,"Fred","Howell","fhowell3k@weibo.com","Male",484810,0.2,10,7,0,0.506614959877262
"130",130,"Carl","White","cwhite3l@europa.eu","Male",201546,0.5,11,7,1,0.498726468304918
"131",131,"Matthew","Palmer","mpalmer3m@trellian.com","Male",297772,0.8,11,6,1,0.495128682911745
"132",132,"Mildred","Edwards","medwards3n@wordpress.org","Female",453923,0.6,7,9,0,0.468593783591281
"133",133,"Juan","Payne","jpayne3o@hibu.com","Male",425264,0.9,7,5,0,0.491613242882269
"134",134,"Donald","Campbell","dcampbell3p@jalbum.net","Male",282033,0.3,8,5,0,0.517555687389347
"135",135,"Jose","Carroll","jcarroll3q@goo.gl","Male",72468,0.6,12,5,0,0.514766657763673
"136",136,"Larry","Mitchell","lmitchell3r@com.com","Male",459701,0.3,11,5,0,0.521982864550804
"137",137,"Carl","Thomas","cthomas3s@indiatimes.com","Male",172815,0.1,5,6,1,0.511801864971141
"138",138,"Phyllis","Bell","pbell3t@theguardian.com","Female",479264,0.4,8,12,0,0.452198086327374
"139",139,"Douglas","Pierce","dpierce3u@house.gov","Male",210506,0.5,12,11,1,0.466114252329731
"140",140,"Evelyn","Smith","esmith3v@canalblog.com","Female",309667,0.1,18,11,0,0.492063494539037
"141",141,"Ronald","Butler","rbutler3w@techcrunch.com","Male",485441,0.4,20,4,0,0.543288104230785
"142",142,"Brandon","Allen","ballen3x@uiuc.edu","Male",206567,0.5,8,11,1,0.458705036400727
"143",143,"Mary","Harris","mharris3y@oracle.com","Female",304878,0.4,11,7,0,0.501917904497692
"144",144,"Kathy","Wallace","kwallace3z@cdbaby.com","Female",287309,0.5,18,6,1,0.519785845861993
"145",145,"Lawrence","Watkins","lwatkins40@ed.gov","Male",147505,0.9,18,6,1,0.505251439051341
"146",146,"Lois","Simmons","lsimmons41@newsvine.com","Female",215154,0.5,11,7,0,0.498638476198068
"147",147,"Earl","Lopez","elopez42@blogspot.com","Male",406887,0.1,12,9,1,0.497489295886122
"148",148,"Henry","Castillo","hcastillo43@omniture.com","Male",325585,0.9,7,10,0,0.449241599698513
"149",149,"Matthew","Morales","mmorales44@macromedia.com","Male",411848,0.5,8,10,0,0.465980885125464
"150",150,"Wayne","Wagner","wwagner45@is.gd","Male",125727,0.4,20,5,0,0.53701085082037
"151",151,"Cynthia","Weaver","cweaver46@clickbank.net","Female",372635,0.4,14,7,1,0.507055788629761
"152",152,"Irene","Diaz","idiaz47@amazon.co.jp","Female",86356,0.1,13,4,1,0.544436774316606
"153",153,"Mildred","Wagner","mwagner48@ibm.com","Female",439315,0.9,13,3,0,0.519880890889186
"154",154,"Alice","Wagner","awagner49@cafepress.com","Female",224637,0.6,6,7,1,0.485424197293444
"155",155,"Martha","Brown","mbrown4a@exblog.jp","Female",340460,0.7,8,11,0,0.450120052909006
"156",156,"Shawn","Montgomery","smontgomery4b@yandex.ru","Male",181754,0,17,10,0,0.503494774137432
"157",157,"Justin","Henderson","jhenderson4c@ucsd.edu","Male",89257,1,6,11,0,0.436448233633045
"158",158,"Pamela","Day","pday4d@blogs.com","Female",166490,0.4,19,8,1,0.509078884589679
"159",159,"Beverly","Gutierrez","bgutierrez4e@indiatimes.com","Female",385606,0.1,16,9,0,0.50506158948523
"160",160,"Russell","Ryan","rryan4f@cam.ac.uk","Male",176501,1,19,9,0,0.477253301793336
"161",161,"Howard","Edwards","hedwards4g@mlb.com","Male",314786,0.4,17,5,0,0.530212341988639
"162",162,"Terry","Frazier","tfrazier4h@techcrunch.com","Male",81635,0.1,14,3,0,0.554929210434096
"163",163,"Louis","Carr","lcarr4i@photobucket.com","Male",271098,0.3,20,10,1,0.49691426630156
"164",164,"Benjamin","Sims","bsims4j@wordpress.org","Male",344584,0.8,19,10,1,0.475282409212816
"165",165,"Amy","Gardner","agardner4k@fotki.com","Female",475977,0.3,13,9,1,0.491182013402481
"166",166,"Ann","Garcia","agarcia4l@google.de","Female",192754,0.9,12,10,0,0.459393869953773
"167",167,"Anna","Pierce","apierce4m@google.com.au","Female",194385,0.8,20,7,0,0.503922010967121
"168",168,"Laura","Adams","ladams4n@jigsy.com","Female",62989,0.2,13,8,0,0.506315317742072
"169",169,"Mary","Romero","mromero4o@uiuc.edu","Female",295615,0,13,8,0,0.512530314533994
"170",170,"Laura","Peterson","lpeterson4p@plala.or.jp","Female",187841,0.6,9,12,0,0.448221954521063
"171",171,"Wanda","Cole","wcole4q@oaic.gov.au","Female",277210,0.2,16,4,1,0.544919086103481
"172",172,"Paul","Hughes","phughes4r@canalblog.com","Male",167528,0.8,16,11,0,0.462248037143801
"173",173,"Anne","Gutierrez","agutierrez4s@dailymotion.com","Female",165359,0.7,17,3,0,0.536806236648148
"174",174,"Paula","Jones","pjones4t@freewebs.com","Female",388898,0,14,4,1,0.548198749546119
"175",175,"Ruth","Sanchez","rsanchez4u@shop-pro.jp","Female",206116,0.1,17,5,1,0.54249383041755
"176",176,"Karen","Austin","kaustin4v@mozilla.org","Female",389308,0.1,11,7,0,0.512950768894203
"177",177,"Arthur","Holmes","aholmes4w@4shared.com","Male",176813,0.9,15,7,0,0.490882675217322
"178",178,"Ronald","Washington","rwashington4x@ted.com","Male",294268,0.9,20,6,0,0.508019782676976
"179",179,"Heather","Austin","haustin4y@seattletimes.com","Female",221992,0.3,9,3,0,0.53700907151416
"180",180,"Nicholas","Lopez","nlopez4z@patch.com","Male",378402,0.6,16,10,1,0.477206924400221
"181",181,"Kelly","Watkins","kwatkins50@myspace.com","Female",477858,0.6,9,12,0,0.446346645375519
"182",182,"Mildred","Smith","msmith51@blinklist.com","Female",95184,0.3,10,8,1,0.496671521561185
"183",183,"Christine","Rodriguez","crodriguez52@networkadvertising.org","Female",477571,0.5,8,7,1,0.491365619558109
"184",184,"Jeremy","Turner","jturner53@reverbnation.com","Male",400147,0.7,19,10,0,0.478782729514361
"185",185,"Linda","Fernandez","lfernandez54@blog.com","Female",193586,0.4,16,12,1,0.468914711227614
"186",186,"Fred","Vasquez","fvasquez55@about.me","Male",284776,0.7,7,4,0,0.50884410858132
"187",187,"Ashley","Day","aday56@google.pl","Female",132281,0.8,7,8,1,0.471557620023646
"188",188,"Sarah","Montgomery","smontgomery57@msu.edu","Female",402963,0.1,17,4,1,0.54982421510857
"189",189,"Russell","Nichols","rnichols58@jalbum.net","Male",195385,0.4,10,9,0,0.483560761836934
"190",190,"Beverly","Ramos","bramos59@alibaba.com","Female",399341,0.8,7,3,1,0.512846943481005
"191",191,"Alan","Snyder","asnyder5a@themeforest.net","Male",220357,0.6,16,12,0,0.461022400462971
"192",192,"Laura","Campbell","lcampbell5b@zdnet.com","Female",218956,0.5,13,4,1,0.528140947615112
"193",193,"Jacqueline","Stanley","jstanley5c@com.com","Female",240178,1,14,9,1,0.467548195423818
"194",194,"Ronald","Gutierrez","rgutierrez5d@mit.edu","Male",173047,0.4,10,3,0,0.535324629450016
"195",195,"Russell","Burns","rburns5e@seattletimes.com","Male",114134,0.8,7,3,0,0.514691150184313
"196",196,"Victor","Gutierrez","vgutierrez5f@technorati.com","Male",335068,0.9,10,11,1,0.446153057823965
"197",197,"Russell","Phillips","rphillips5g@economist.com","Male",223446,0.6,20,10,0,0.485643587846719
"198",198,"Carolyn","Gonzales","cgonzales5h@msu.edu","Female",458523,0.7,6,3,1,0.514465191012681
"199",199,"Pamela","Lewis","plewis5i@wufoo.com","Female",258672,0.6,14,4,1,0.525883205419758
"200",200,"Jack","Moore","jmoore5j@weebly.com","Male",294961,0.1,15,4,1,0.546805234941663
"201",201,"Nancy","Berry","nberry5k@geocities.com","Female",433021,1,12,12,0,0.43677417728046
"202",202,"Fred","Campbell","fcampbell5l@foxnews.com","Male",434216,0.7,12,7,1,0.491361444137072
"203",203,"Craig","Wheeler","cwheeler5m@cdbaby.com","Male",329458,0.7,20,3,1,0.541321153734491
"204",204,"Ruth","Fisher","rfisher5n@cbslocal.com","Female",426046,0.2,18,4,1,0.547674025287794
"205",205,"Bobby","Knight","bknight5o@state.tx.us","Male",62340,0,7,4,1,0.537299639221688
"206",206,"Justin","Robertson","jrobertson5p@squarespace.com","Male",96497,1,7,3,1,0.5070859906161
"207",207,"Stephanie","Moore","smoore5q@mayoclinic.com","Female",448171,0.6,8,9,1,0.470489648774725
"208",208,"Emily","Hawkins","ehawkins5r@bbb.org","Female",319532,0.7,15,9,1,0.480472553849728
"209",209,"Stephanie","Morgan","smorgan5s@comcast.net","Female",139908,0.7,6,7,0,0.482112470303805
"210",210,"Robin","George","rgeorge5t@smugmug.com","Female",476829,0.5,15,12,1,0.461364930566619
"211",211,"Peter","Hawkins","phawkins5u@godaddy.com","Male",147808,0.9,13,6,1,0.495956121907247
"212",212,"Jose","Chavez","jchavez5v@delicious.com","Male",308367,0.9,9,6,1,0.487483228318576
"213",213,"Jessica","Harper","jharper5w@photobucket.com","Female",353936,0.2,18,8,1,0.513727352910836
"214",214,"Kelly","Riley","kriley5x@flickr.com","Female",195943,0.3,12,4,1,0.5341502868075
"215",215,"Gloria","Montgomery","gmontgomery5y@mozilla.com","Female",74726,0.3,11,6,0,0.515868953924866
"216",216,"Anne","Rose","arose5z@xing.com","Female",192953,0.1,13,9,1,0.500731308393818
"217",217,"Alan","Frazier","afrazier60@wisc.edu","Male",99678,0,7,12,0,0.468232303364331
"218",218,"Shirley","Holmes","sholmes61@theguardian.com","Female",207953,0.3,18,6,1,0.528018181974868
"219",219,"Dennis","Myers","dmyers62@nytimes.com","Male",66725,0.9,16,5,0,0.51065967346409
"220",220,"Patricia","Richards","prichards63@alibaba.com","Female",416030,0.1,9,6,1,0.517663873422276
"221",221,"Julia","Kelly","jkelly64@cargocollective.com","Female",197941,0.9,9,7,0,0.47959402779377
"222",222,"Diane","Thomas","dthomas65@admin.ch","Female",326969,0.3,12,6,0,0.516096570753887
"223",223,"Mary","Ferguson","mferguson66@newyorker.com","Female",128306,0.7,7,4,0,0.509855875553612
"224",224,"Anna","Johnson","ajohnson67@about.com","Female",355445,0.4,9,11,0,0.463460634433526
"225",225,"Lillian","Franklin","lfranklin68@gov.uk","Female",106829,0.8,9,9,1,0.46683630341623
"226",226,"Barbara","Palmer","bpalmer69@msn.com","Female",465415,0.5,8,9,1,0.474237747555283
"227",227,"Dorothy","Graham","dgraham6a@skype.com","Female",55658,0.7,15,10,1,0.473575579428101
"228",228,"Ann","Cruz","acruz6b@cmu.edu","Female",380580,0.1,5,8,0,0.493251938872876
"229",229,"Marie","Olson","molson6c@cnet.com","Female",74056,0.6,20,9,0,0.495212811683808
"230",230,"Jennifer","Ross","jross6d@plala.or.jp","Female",60215,0.4,16,4,0,0.538603016073597
"231",231,"Arthur","White","awhite6e@go.com","Male",202671,0.4,6,8,0,0.484682200356288
"232",232,"Kathryn","Hanson","khanson6f@imdb.com","Female",393487,0,18,10,1,0.503984336898885
"233",233,"Anthony","Burton","aburton6g@51.la","Male",198665,0.6,15,9,1,0.48511370655954
"234",234,"Aaron","Ortiz","aortiz6h@typepad.com","Male",370227,0.2,6,4,1,0.525730903418305
"235",235,"Ronald","Diaz","rdiaz6i@yelp.com","Male",460341,0.2,19,10,0,0.49769151284785
"236",236,"Sandra","Burns","sburns6j@discovery.com","Female",189666,0.6,19,4,0,0.535622770191496
"237",237,"Barbara","Williams","bwilliams6k@hao123.com","Female",498805,0.4,20,3,0,0.551804927468344
"238",238,"Teresa","Holmes","tholmes6l@netscape.com","Female",224446,0.7,15,8,0,0.489690636933553
"239",239,"Paul","Frazier","pfrazier6m@myspace.com","Male",429499,0.8,15,3,1,0.527521308309278
"240",240,"Julie","Long","jlong6n@opensource.org","Female",263086,0.8,18,11,0,0.465347482755862
"241",241,"Carolyn","Stanley","cstanley6o@ft.com","Female",252368,0.8,19,12,0,0.458672221518814
"242",242,"Steve","Fernandez","sfernandez6p@amazon.co.jp","Male",84278,0,17,10,0,0.504125073858728
"243",243,"Dorothy","Ross","dross6q@cbsnews.com","Female",382061,0.6,6,12,0,0.441390073609419
"244",244,"Wanda","Ross","wross6r@japanpost.jp","Female",186598,0.4,13,11,1,0.471987119922666
"245",245,"Kathy","Fowler","kfowler6s@salon.com","Female",473766,0.8,14,9,1,0.473756971727293
"246",246,"Diane","Adams","dadams6t@tumblr.com","Female",477922,0.5,16,10,1,0.480423009763432
"247",247,"Christopher","Schmidt","cschmidt6u@oracle.com","Male",66935,0.7,7,9,1,0.467236525019089
"248",248,"Sharon","Hart","shart6v@un.org","Female",142846,0.7,14,4,0,0.522772557982348
"249",249,"Gloria","Cruz","gcruz6w@squarespace.com","Female",407146,0.6,9,6,1,0.498423309150918
"250",250,"Jerry","Carr","jcarr6x@google.pl","Male",148626,0.9,8,7,0,0.478054237077401
"251",251,"Betty","Powell","bpowell6y@zdnet.com","Female",363218,0.6,17,7,1,0.504973491593498
"252",252,"Nancy","Gibson","ngibson6z@ihg.com","Female",333408,0.9,10,5,0,0.497783217266452
"253",253,"Joyce","Hansen","jhansen70@bravesites.com","Female",185180,1,5,9,1,0.451175779531207
"254",254,"Joyce","Gray","jgray71@sphinn.com","Female",482379,0.1,10,6,0,0.51909351881618
"255",255,"Ann","Knight","aknight72@bluehost.com","Female",262111,0.5,16,6,0,0.516231438121916
"256",256,"Dennis","Harper","dharper73@omniture.com","Male",64146,0.1,12,4,0,0.542721717135203
"257",257,"Irene","Ray","iray74@livejournal.com","Female",293063,0.2,5,12,0,0.45554528929823
"258",258,"Amy","Fuller","afuller75@nydailynews.com","Female",375955,0.4,16,4,1,0.536561376757232
"259",259,"Evelyn","Jones","ejones76@marriott.com","Female",462588,0.6,6,7,1,0.48388555753615
"260",260,"Alan","Thomas","athomas77@tinyurl.com","Male",497654,1,10,10,1,0.449845379131419
"261",261,"Christopher","Rodriguez","crodriguez78@constantcontact.com","Male",403420,1,10,11,0,0.441851477828091
"262",262,"Judith","Butler","jbutler79@amazonaws.com","Female",164516,0.8,19,7,0,0.50225647844374
"263",263,"Doris","Perez","dperez7a@weather.com","Female",396407,0.6,14,9,0,0.481976394830367
"264",264,"Paul","Hawkins","phawkins7b@cisco.com","Male",266551,0.9,20,9,0,0.482389293687233
"265",265,"Helen","Stewart","hstewart7c@amazonaws.com","Female",317580,0.3,10,6,0,0.5124399387915
